APPID,NAME,CURRENT,24H_PEAK,ALL_TIME_PEAK
753,Steam,"12,315,273","16,853,645","18,537,490"
730,Counter-Strike: Global Offensive,"393,783","651,044","854,801"
570,Dota 2,"392,111","905,794","1,295,114"
578080,PLAYERUNKNOWN'S BATTLEGROUNDS,"182,659","809,999","3,257,248"
359550,Tom Clancy's Rainbow Six Siege,"75,370","124,735","178,953"
252950,Rocket League,"51,457","60,716","103,129"
440,Team Fortress 2,"51,195","62,619","122,938"
872790,Football Manager 2019,"48,534","66,200","74,726"
252490,Rust,"46,983","60,442","85,218"
230410,Warframe,"44,596","74,763","132,201"
271590,Grand Theft Auto V,"43,828","83,079","364,548"
346110,ARK: Survival Evolved,"37,188","48,340","106,478"
289070,Sid Meier's Civilization VI,"36,153","41,531","162,657"
4000,Garry's Mod,"34,759","49,379","73,863"
8930,Sid Meier's Civilization V,"33,758","38,555","91,363"
582010,MONSTER HUNTER: WORLD,"29,357","62,572","334,684"
105600,Terraria,"28,711","34,187","159,175"
238960,Path of Exile,"26,966","32,548","123,462"
883710,RESIDENT EVIL 2 / BIOHAZARD RE:2,"25,550","34,950","74,227"
381210,Dead by Daylight,"24,195","37,299","63,715"
755790,Ring of Elysium,"21,799","34,441","63,435"
834910,ATLAS,"21,714","24,185","58,939"
107410,Arma 3,"21,159","28,760","56,679"
394360,Hearts of Iron IV,"20,216","26,063","41,042"
594570,Total War: WARHAMMER II,"18,474","21,761","72,320"
444090,Paladins,"18,470","25,561","60,743"
343710,KHOLAT,"17,855","105,638","272,019"
227300,Euro Truck Simulator 2,"16,699","32,515","48,356"
377160,Fallout 4,"16,557","19,253","472,962"
489830,The Elder Scrolls V: Skyrim Special Edition,"16,463","18,875","69,906"
236850,Europa Universalis IV,"16,415","20,770","28,449"
413150,Stardew Valley,"16,356","17,981","64,427"
306130,The Elder Scrolls Online,"16,338","19,403","29,996"
304930,Unturned,"16,192","31,099","63,462"
294100,RimWorld,"15,499","17,163","28,475"
582660,Black Desert Online,"14,554","15,423","28,152"
251570,7 Days to Die,"14,465","17,174","32,765"
264710,Subnautica,"13,780","16,297","51,156"
281990,Stellaris,"13,723","15,709","68,602"
236390,War Thunder,"13,554","19,288","35,313"
72850,The Elder Scrolls V: Skyrim,"13,263","16,741","287,411"
221380,Age of Empires II: HD Edition,"12,646","15,741","22,597"
435150,Divinity: Original Sin 2,"12,214","13,655","93,701"
624090,Football Manager 2018,"11,622","16,377","71,575"
10,Counter-Strike,"11,536","20,350","319,586"
39210,FINAL FANTASY XIV Online,"11,470","11,923","25,725"
255710,Cities: Skylines,"11,448","14,894","60,386"
427520,Factorio,"11,399","13,304","20,261"
291550,Brawlhalla,"11,331","14,118","16,525"
292030,The Witcher 3: Wild Hunt,"11,131","17,759","92,268"
787860,Farming Simulator 19,"11,066","16,615","59,466"
431960,Wallpaper Engine,"10,205","12,580","20,474"
646570,Slay the Spire,"10,097","12,395","33,086"
49520,Borderlands 2,"9,269","10,574","124,678"
386360,SMITE,"9,256","10,839","23,596"
374320,DARK SOULS? III,"9,075","12,662","129,975"
304390,For Honor,"9,034","12,303","225,831"
550,Left 4 Dead 2,"8,826","14,734","162,399"
203770,Crusader Kings II,"8,546","9,875","141,439"
812140,Assassin's Creed Odyssey,"8,540","13,647","62,069"
48700,Mount & Blade: Warband,"8,491","11,522","33,054"
218620,PAYDAY 2,"8,437","14,581","247,709"
438100,VRChat,"8,288","9,621","20,320"
601510,Yu-Gi-Oh! Duel Links,"8,246","9,320","15,934"
502500,ACE COMBAT? 7: SKIES UNKNOWN,"7,995","13,602","13,758"
214950,Total War: ROME II - Emperor Edition,"7,657","9,457","118,240"
480,Spacewar,"7,418","15,005","22,843"
359320,Elite Dangerous,"7,351","8,488","18,092"
841370,NBA 2K19,"7,346","17,775","29,026"
242760,The Forest,"7,332","10,169","25,874"
221100,DayZ,"7,224","9,519","45,548"
440900,Conan Exiles,"6,849","7,780","53,402"
322330,Don't Starve Together,"6,846","12,548","30,576"
813820,Realm Royale,"6,760","8,511","105,440"
552500,Warhammer: Vermintide 2,"6,497","8,020","73,316"
47890,The Sims(TM) 3,"6,482","7,146","9,621"
666140,My Time At Portia,"6,162","8,810","13,299"
250900,The Binding of Isaac: Rebirth,"6,063","7,978","70,232"
231430,Company of Heroes 2,"5,908","8,696","164,688"
268500,XCOM 2,"5,563","6,593","133,022"
848450,Subnautica: Below Zero,"5,465","7,487","17,473"
244850,Space Engineers,"5,420","6,249","23,888"
627690,Idle Champions of the Forgotten Realms,"5,379","5,693","6,565"
444200,World of Tanks Blitz,"5,339","17,829","25,701"
482730,Football Manager 2017,"4,914","7,193","72,824"
218,Source SDK Base 2007,"4,914","16,321","16,321"
233860,Kenshi,"4,891","5,773","8,476"
376210,The Isle,"4,752","5,204","5,204"
220200,Kerbal Space Program,"4,647","5,493","19,149"
240,Counter-Strike: Source,"4,515","7,538","100,056"
573100,Battlefleet Gothic: Armada II,"4,476","5,320","8,960"
607050,Wargroove,"4,476","5,065","5,065"
550650,Black Squad,"4,460","7,930","15,939"
22380,Fallout: New Vegas,"4,439","4,877","51,038"
4700,Total War: MEDIEVAL II - Definitive Edition,"4,309","5,205","5,917"
552990,World of Warships,"4,284","7,716","7,716"
552520,Far Cry 5,"4,279","5,409","92,445"
232090,Killing Floor 2,"4,213","6,801","69,987"
270880,American Truck Simulator,"4,192","4,859","19,153"
392110,Endless Space 2,"4,165","4,791","16,683"
379430,Kingdom Come: Deliverance,"3,946","5,335","96,069"
211820,Starbound,"3,941","4,445","88,709"
286160,Tabletop Simulator,"3,889","4,066","4,915"
365590,Tom Clancy's The Division,"3,850","6,358","114,228"
227940,Heroes & Generals,"3,833","6,853","21,026"
581320,Insurgency: Sandstorm,"3,823","4,230","8,071"
457140,Oxygen Not Included,"3,784","5,010","10,952"
219990,Grim Dawn,"3,684","5,063","20,411"
10500,Total War: EMPIRE - Definitive Edition,"3,637","4,566","27,559"
204880,Sins of a Solar Empire: Rebellion,"3,504","11,125","93,109"
678950,DRAGON BALL FighterZ,"3,469","3,705","44,303"
386180,Crossout,"3,381","6,233","9,701"
322170,Geometry Dash,"3,350","4,531","9,641"
8500,EVE Online,"3,268","4,010","6,703"
239140,Dying Light,"3,247","5,506","45,876"
325610,Total War: ATTILA,"3,182","4,209","26,346"
690830,Foundation,"3,171","4,088","4,088"
314160,Microsoft Flight Simulator X: Steam Edition,"3,125","4,016","5,821"
275850,No Man's Sky,"3,082","3,538","212,613"
34330,Total War: SHOGUN 2,"3,053","3,806","38,517"
770240,PRO EVOLUTION SOCCER 2019,"3,006","5,123","6,551"
460930,Tom Clancy's Ghost Recon? Wildlands,"2,964","4,414","45,704"
637090,BATTLETECH,"2,964","3,276","35,767"
363970,Clicker Heroes,"2,905","3,327","65,882"
356190,Middle-earth?: Shadow of War?,"2,901","3,859","68,183"
109600,Neverwinter,"2,786","3,502","14,866"
304050,Trove,"2,784","4,335","58,949"
367520,Hollow Knight,"2,769","3,827","10,054"
383120,Empyrion - Galactic Survival,"2,744","3,192","7,118"
289130,Endless Legend,"2,724","3,262","10,468"
268850,EVGA Precision XOC,"2,724","2,999","4,248"
620,Portal 2,"2,711","3,290","98,460"
244210,Assetto Corsa,"2,684","3,862","7,067"
372000,Tree of Savior (English Ver.),"2,682","2,920","53,554"
262060,Darkest Dungeon?,"2,679","3,163","19,357"
291480,Warface,"2,649","3,953","13,867"
700330,SCP: Secret Laboratory,"2,644","3,852","4,613"
284160,BeamNG.drive,"2,603","3,242","4,383"
