INDEX,APPID,NAME,POSITIVE,NEGATIVE,RATING
1,620,Portal 2,"135,868","1,836",97.29%
2,427520,Factorio,"45,866",666,96.66%
3,292030,The Witcher 3: Wild Hunt,"195,755","4,458",96.56%
4,400,Portal,"50,789","1,061",96.13%
5,10,Counter-Strike,"122,464","3,215",96.06%
6,105600,Terraria,"249,283","7,531",95.96%
7,250900,The Binding of Isaac: Rebirth,"72,005","1,812",95.92%
8,294100,RimWorld,"36,867",812,95.84%
9,252150,Grimm,"27,769",573,95.79%
10,550,Left 4 Dead 2,"247,492","8,149",95.71%
11,227300,Euro Truck Simulator 2,"171,798","5,563",95.63%
12,413150,Stardew Valley,"114,184","3,532",95.60%
13,48700,Mount & Blade: Warband,"74,535","2,163",95.58%
14,219150,Hotline Miami,"45,381","1,188",95.58%
15,264200,One Finger Death Punch,"13,966",248,95.54%
16,213670,South Park???: The Stick of Truth???,"35,651",893,95.54%
17,238460,BattleBlock Theater,"47,166","1,269",95.54%
18,698780,Doki Doki Literature Club,"106,274","3,471",95.41%
19,424280,Iron Snout,"13,660",273,95.32%
20,253230,A Hat in Time,"13,135",262,95.29%
21,250320,The Wolf Among Us,"21,052",513,95.26%
22,49520,Borderlands 2,"138,281","4,936",95.25%
23,205100,Dishonored,"41,253","1,245",95.17%
24,219740,Don't Starve,"61,017","1,999",95.15%
25,420530,OneShot,"10,431",204,95.13%
26,319630,Life is Strange???,"116,737","4,391",95.01%
27,207610,The Walking Dead,"45,500","1,492",94.99%
28,220,Half-Life 2,"66,725","2,361",94.96%
29,322330,Don't Starve Together,"105,790","3,992",94.95%
30,206440,To the Moon,"41,521","1,381",94.89%
31,447530,VA-11 Hall-A: Cyberpunk Bartender Action,"11,849",285,94.84%
32,745880,?????????????? ??? Hidden Star in Four Seasons.,"4,043",48,94.83%
33,351640,Eternal Senia,"9,927",223,94.83%
34,337340,Finding Paradise,"6,174",112,94.75%
35,4000,Garry's Mod,"357,237","16,044",94.74%
36,221640,Super Hexagon,"19,726",602,94.66%
37,274190,Broforce,"30,593","1,038",94.65%
38,8930,Sid Meier's Civilization V,"128,028","5,408",94.63%
39,312990,The Expendabros,"14,941",428,94.62%
40,212680,FTL: Faster Than Light,"42,278","1,544",94.61%
41,206190,Gunpoint,"10,325",262,94.61%
42,341800,Keep Talking and Nobody Explodes,"5,628",109,94.55%
43,644560,Mirror,"19,399",619,94.53%
44,425580,The Room Two,"7,183",162,94.52%
45,3590,Plants vs. Zombies: Game of the Year,"14,124",425,94.45%
46,214560,Mark of the Ninja,"14,647",447,94.44%
47,288160,The Room,"9,970",268,94.44%
48,620980,Beat Saber,"9,629",257,94.43%
49,203160,Tomb Raider,"91,153","3,953",94.39%
50,204360,Castle Crashers,"49,722","2,010",94.36%
51,602520,NEKOPARA Vol. 3,"7,518",190,94.32%
52,420110,NEKOPARA Vol. 2,"8,597",230,94.32%
53,55230,Saints Row: The Third,"44,354","1,809",94.26%
54,400910,Rabi-Ribi,"6,188",148,94.25%
55,646570,Slay the Spire,"24,768",929,94.20%
56,107100,Bastion,"27,660","1,065",94.19%
57,391540,Undertale,"96,345","4,427",94.18%
58,238320,Outlast,"45,199","1,900",94.16%
59,412830,STEINS;GATE,"5,508",130,94.15%
60,240,Counter-Strike: Source,"75,296","3,422",94.12%
61,261570,Ori and the Blind Forest,"26,465","1,036",94.10%
62,70,Half-Life,"27,046","1,073",94.07%
63,433340,Slime Rancher,"23,138",908,94.01%
64,268910,Cuphead,"37,846","1,638",93.96%
65,113200,The Binding of Isaac,"43,122","1,898",93.96%
66,22380,Fallout: New Vegas,"65,629","3,067",93.94%
67,8870,BioShock Infinite,"78,280","3,745",93.93%
68,504230,Celeste,"6,124",169,93.92%
69,367580,Hook,"6,508",186,93.89%
70,247080,Crypt of the NecroDancer,"14,003",514,93.86%
71,387290,Ori and the Blind Forest: Definitive Edition,"15,411",594,93.78%
72,433950,Bit Blaster XL,"5,112",138,93.78%
73,339800,HuniePop,"17,525",698,93.76%
74,239030,"Papers, Please","25,202","1,082",93.74%
75,883710,RESIDENT EVIL 2 / BIOHAZARD RE:2,"14,377",552,93.74%
76,250760,Shovel Knight: Treasure Trove,"9,248",321,93.69%
77,413410,Danganronpa: Trigger Happy Havoc,"5,478",160,93.66%
78,35140,Batman: Arkham Asylum GOTY Edition,"19,896",836,93.66%
79,1250,Killing Floor,"53,558","2,625",93.64%
80,555220,Detention,"7,409",246,93.62%
81,557600,Gorogoa,"4,365",117,93.62%
82,261030,The Walking Dead: Season Two,"21,021",926,93.52%
83,367520,Hollow Knight,"36,861","1,775",93.52%
84,217980,Dishonored RHCP,"3,278",79,93.51%
85,236090,Dust: An Elysian Tail,"14,998",625,93.49%
86,639790,DEEP SPACE WAIFU,"7,122",244,93.49%
87,35720,Trine 2,"16,229",691,93.47%
88,597220,West of Loathing,"2,876",67,93.41%
89,499440,klocki,"3,509",94,93.36%
90,519860,DUSK,"3,126",79,93.35%
91,200260,Batman: Arkham City GOTY,"25,623","1,222",93.34%
92,331470,Everlasting Summer,"30,694","1,503",93.34%
93,257510,The Talos Principle,"16,928",754,93.33%
94,282140,SOMA,"15,851",699,93.32%
95,413420,Danganronpa 2: Goodbye Despair,"4,458",137,93.31%
96,312530,Duck Game,"16,440",733,93.30%
97,102600,Orcs Must Die!,"5,332",177,93.29%
98,653530,Return of the Obra Dinn,"2,809",69,93.27%
99,411960,TY the Tasmanian Tiger,"1,652",26,93.27%
100,223470,POSTAL 2,"35,501","1,806",93.26%
101,333600,NEKOPARA Vol. 1,"15,941",718,93.24%
102,9420,Supreme Commander: Forged Alliance,"4,837",158,93.23%
103,260230,Valiant Hearts: The Great War??? / Soldats Inconnus : M??moires de la Grande Guerre???,"15,400",692,93.22%
104,282070,This War of Mine,"46,707","2,491",93.20%
