NAME,VIEWERS,24H_PEAK,STEAM_PLAYERS
Steam,0,1,"12,315,273"
Counter-Strike: Global Offensive,"44,942","90,742","393,783"
Dota 2,"70,361","137,099","392,111"
PLAYERUNKNOWN'S BATTLEGROUNDS,"74,567","101,818","182,659"
Tom Clancy's Rainbow Six Siege,"15,634","42,985","75,370"
Rocket League,"5,702","6,110","51,457"
Team Fortress 2,290,561,"51,195"
Football Manager 2019,835,"2,822","48,534"
Rust,"2,979","3,384","46,983"
Warframe,"2,601","2,826","44,596"
Grand Theft Auto V,"34,743","46,587","43,828"
ARK: Survival Evolved,"2,356","3,191","37,188"
Sid Meier's Civilization VI,108,335,"36,153"
Garry's Mod,"2,121","2,121","34,759"
Sid Meier's Civilization V,650,768,"33,758"
MONSTER HUNTER: WORLD,"2,158","4,901","29,357"
Terraria,756,973,"28,711"
Path of Exile,"8,604","12,330","26,966"
Dead by Daylight,"15,664","44,068","24,195"
Ring of Elysium,"4,377","4,748","21,799"
ATLAS,"6,517","9,618","21,714"
Arma 3,"1,010","23,437","21,159"
Hearts of Iron IV,90,549,"20,216"
Total War: WARHAMMER II,657,"1,271","18,474"
Paladins,"11,554","14,046","18,470"
KHOLAT,104,234,"17,855"
Euro Truck Simulator 2,"2,436","3,916","16,699"
Fallout 4,207,699,"16,557"
Europa Universalis IV,696,"1,954","16,415"
Stardew Valley,"1,222","1,306","16,356"
The Elder Scrolls Online,"1,619","10,698","16,338"
Unturned,45,58,"16,192"
RimWorld,595,773,"15,499"
Black Desert Online,"3,750","7,005","14,554"
7 Days to Die,"1,124","1,392","14,465"
Subnautica,910,"7,487","13,780"
Stellaris,81,360,"13,723"
War Thunder,477,611,"13,554"
The Elder Scrolls V: Skyrim,661,"3,984","13,263"
Age of Empires II: HD Edition,866,"8,101","12,646"
Divinity: Original Sin 2,144,263,"12,214"
Football Manager 2018,0,9,"11,622"
Counter-Strike,42,601,"11,536"
FINAL FANTASY XIV Online,"7,196","85,900","11,470"
Cities: Skylines,170,549,"11,448"
Factorio,309,411,"11,399"
Brawlhalla,295,513,"11,331"
The Witcher 3: Wild Hunt,779,"1,882","11,131"
Farming Simulator 19,671,977,"11,066"
Slay the Spire,"2,892","4,346","10,097"
Borderlands 2,345,881,"9,269"
SMITE,"2,333","5,302","9,256"
DARK SOULS??? III,"2,262","3,550","9,075"
For Honor,"3,064","6,476","9,034"
Left 4 Dead 2,206,322,"8,826"
Crusader Kings II,23,"1,067","8,546"
Assassin's Creed Odyssey,306,723,"8,540"
Mount & Blade: Warband,35,69,"8,491"
PAYDAY 2,"1,284","1,288","8,437"
VRChat,"2,176","3,377","8,288"
Yu-Gi-Oh! Duel Links,284,"1,154","8,246"
Elite Dangerous,535,576,"7,351"
NBA 2K19,"7,970","8,624","7,346"
The Forest,"1,564","7,278","7,332"
DayZ,"1,093","2,046","7,224"
Conan Exiles,395,487,"6,849"
Don't Starve Together,534,"1,647","6,846"
Realm Royale,"3,493","5,185","6,760"
Warhammer: Vermintide 2,194,359,"6,497"
My Time At Portia,"27,235","27,235","6,162"
The Binding of Isaac: Rebirth,18,140,"6,063"
Company of Heroes 2,166,369,"5,908"
XCOM 2,126,199,"5,563"
Subnautica: Below Zero,"5,965","14,441","5,465"
Space Engineers,215,222,"5,420"
Idle Champions of the Forgotten Realms,0,8,"5,379"
World of Tanks Blitz,8,74,"5,339"
Football Manager 2017,0,7,"4,914"
Kenshi,96,492,"4,891"
The Isle,"27,261","40,681","4,752"
Kerbal Space Program,"1,193","1,209","4,647"
Counter-Strike: Source,9,21,"4,515"
Wargroove,"1,689","7,641","4,476"
Battlefleet Gothic: Armada II,301,"7,177","4,476"
Black Squad,140,212,"4,460"
Fallout: New Vegas,0,293,"4,439"
Total War: MEDIEVAL II - Definitive Edition,0,4,"4,309"
World of Warships,"1,927","4,765","4,284"
Far Cry 5,219,335,"4,279"
Killing Floor 2,63,241,"4,213"
American Truck Simulator,157,526,"4,192"
Endless Space 2,0,170,"4,165"
Kingdom Come: Deliverance,164,337,"3,946"
Starbound,85,117,"3,941"
Tabletop Simulator,200,"1,290","3,889"
Tom Clancy's The Division,"1,218","1,405","3,850"
Heroes & Generals,72,238,"3,833"
Insurgency: Sandstorm,154,"2,520","3,823"
Oxygen Not Included,416,582,"3,784"
Grim Dawn,65,358,"3,684"
Total War: EMPIRE - Definitive Edition,0,5,"3,637"
Sins of a Solar Empire: Rebellion,9,10,"3,504"
DRAGON BALL FighterZ,815,"6,795","3,469"
Crossout,98,184,"3,381"
Geometry Dash,95,152,"3,350"
EVE Online,538,837,"3,268"
Dying Light,"1,568","1,772","3,247"
Total War: ATTILA,0,28,"3,182"
Foundation,"1,131","4,164","3,171"
No Man's Sky,154,258,"3,082"
Total War: SHOGUN 2,3,32,"3,053"
PRO EVOLUTION SOCCER 2019,272,341,"3,006"
BATTLETECH,55,61,"2,964"
Clicker Heroes,2,10,"2,905"
Neverwinter,122,287,"2,786"
Trove,54,106,"2,784"
Hollow Knight,266,"15,208","2,769"
Endless Legend,9,19,"2,724"
Portal 2,263,551,"2,711"
Assetto Corsa,83,137,"2,684"
Darkest Dungeon??,304,"1,274","2,679"
Warface,121,"2,569","2,649"
SCP: Secret Laboratory,35,89,"2,644"
BeamNG.drive,0,238,"2,603"
Beat Saber,"1,161","1,510","2,601"
Star Trek Online,110,134,"2,556"
Football Manager 2016,0,1,"2,548"
Total War: WARHAMMER,2,33,"2,452"
Shadowverse,566,770,"2,428"
Squad,52,297,"2,412"
Farming Simulator 17,23,138,"2,358"
They Are Billions,460,600,"2,355"
SCUM,181,645,"2,319"
Pathfinder: Kingmaker,99,115,"2,288"
Knight Online,"5,340","10,553","2,253"
Russian Fishing 4,582,805,"2,250"
Frostpunk,63,181,"2,209"
Just Cause 3,10,28,"2,206"
Rising Storm 2: Vietnam,19,101,"2,192"
MapleStory 2,135,199,"2,190"
Realm Grinder,0,2,"2,141"
Planet Coaster,75,377,"2,112"
Pillars of Eternity II: Deadfire,19,75,"2,074"
Banished,6,91,"2,074"
Hurtworld,17,108,"2,034"
Transport Fever,24,34,"2,029"
METAL GEAR SOLID V: THE PHANTOM PAIN,157,933,"2,024"
Prison Architect,32,44,"2,000"
Car Mechanic Simulator 2018,15,207,"1,993"
DRAGON BALL XENOVERSE 2,60,130,"1,946"
Don't Starve,166,226,"1,905"
PC Building Simulator,112,315,"1,893"
The Long Dark,202,379,"1,839"
Sunless Skies,31,"2,565","1,821"
PlanetSide 2,125,889,"1,819"
Rome: Total War,7,9,"1,797"
Shadow of the Tomb Raider,120,197,"1,784"
Insurgency,7,17,"1,782"
Farm Together,67,118,"1,758"
Battlerite,171,260,"1,757"
TEKKEN 7,629,"5,931","1,738"
Age of Mythology: Extended Edition,0,1,"1,728"
Enter the Gungeon,131,"2,513","1,716"
Men of War: Assault Squad 2,0,273,"1,690"
Rise of the Tomb Raider,59,145,"1,659"
Football Manager 2015,0,2,"1,658"
Endless Space,0,5,"1,655"
Mortal Kombat X,498,633,"1,654"
Yakuza 0,257,"1,669","1,648"
Sid Meier's Civilization IV: Beyond the Sword,0,1,"1,647"
Total War: NAPOLEON - Definitive Edition,0,7,"1,645"
Raft,48,262,"1,637"
Shakes and Fidget,27,249,"1,625"
Hunt: Showdown,"2,545","2,656","1,584"
Jurassic World Evolution,62,125,"1,583"
Assassin's Creed Origins,90,123,"1,581"
AdVenture Capitalist,0,1,"1,577"
FTL: Faster Than Light,92,458,"1,561"
DOOM,128,132,"1,558"
Call of Duty: Black Ops III,224,434,"1,538"
Crusaders of the Lost Idols,0,30,"1,534"
X4: Foundations,0,16,"1,502"
X-Plane 11,81,351,"1,474"
Company of Heroes,12,34,"1,447"
Gems of War,2,3,"1,444"
Far Cry 4,21,44,"1,403"
Source Filmmaker,0,1,"1,377"
SoulWorker,0,114,"1,350"
Total War Saga: Thrones of Britannia,0,57,"1,339"
Realm of the Mad God,182,203,"1,336"
Project CARS 2,8,565,"1,326"
Street Fighter V,"1,132","2,868","1,314"
TERA,0,219,"1,312"
Slime Rancher,22,73,"1,302"
TERA,0,154,"1,302"
Deep Rock Galactic,51,79,"1,278"
H1Z1,"2,402","2,687","1,271"
Golf With Your Friends,620,899,"1,257"
Anno 2205,13,13,"1,242"
Victoria II,27,72,"1,232"
Mafia III,28,44,"1,223"
NBA 2K18,31,268,"1,214"
Deceit,216,"2,347","1,195"
Battle Brothers,158,431,"1,192"
Human: Fall Flat,165,458,"1,184"
Pillars of Eternity,196,203,"1,180"
Dead Cells,95,"4,810","1,176"
Undertale,111,199,"1,173"
The Elder Scrolls IV: Oblivion,51,119,"1,165"
Out of the Park Baseball 19,65,65,"1,155"
Idling to Rule the Gods,0,5,"1,155"
Stick Fight: The Game,35,133,"1,149"
MechWarrior Online,321,439,"1,147"
XCOM: Enemy Unknown,0,10,"1,147"
Fishing Planet,93,93,"1,145"
House Flipper,0,515,"1,141"
DiRT Rally,85,103,"1,133"
Robocraft,20,33,"1,127"
Scrap Mechanic,0,18,"1,127"
Sniper Elite 4,176,208,"1,114"
Northgard,24,149,"1,107"
ASTRONEER,566,568,"1,106"
Graveyard Keeper,270,327,"1,106"
Heat,372,"17,478","1,101"
Wargame: Red Dragon,296,327,"1,091"
Quake Champions,341,848,"1,089"
The Elder Scrolls: Legends,0,"1,227","1,086"
Football Manager 2014,0,1,"1,069"
Town of Salem,33,490,"1,055"
Two Point Hospital,11,113,"1,051"
Deponia: The Complete Journey,32,59,"1,028"
ShellShock Live,14,98,"1,020"
Fallout Shelter,0,15,994
Dragon's Dogma: Dark Arisen,12,158,990
Mafia II,0,11,964
Dungeon Defenders II,8,43,955
Stormworks: Build and Rescue,0,10,932
RPG Maker MV,0,1,931
F1 2018,42,"1,144",916
Borderlands,28,154,915
Life is Feudal: Your Own,10,69,911
Artifact,312,793,910
Call of Duty: World at War,61,86,907
Tomb Raider,56,375,900
Grand Theft Auto: San Andreas,0,121,893
Minion Masters,185,309,892
Project Zomboid,32,58,889
Spore,11,19,884
Miscreated,119,152,874
Surviving Mars,16,17,869
Tropico 5,6,190,860
"Warhammer 40,000: Dawn of War - Soulstorm",3,34,857
Sid Meier's Civilization: Beyond Earth,0,1,846
Cuphead,244,269,843
Shop Heroes,0,5,837
Infestation: The New Z,236,583,830
Transformice,0,4,825
VEGA Conflict,0,2,824
Anno 2070,2,498,823
Spintires: MudRunner,0,12,820
Mad Max,9,78,819
Cultist Simulator,"2,909","2,909",818
Bless Online,5,50,814
Grand Theft Auto IV,9,"1,342",809
Dishonored 2,10,43,800
SUPERHOT,6,352,799
DiRT 4,0,51,788
Rise of Nations: Extended Edition,0,3,778
Sid Meier's Civilization IV,0,2,773
Half-Life 2,136,485,772
Supreme Commander: Forged Alliance,45,198,759
Age of Wonders III,0,4,753
SOULCALIBUR VI,109,230,751
For The King,11,426,746
Worlds Adrift,66,66,743
Cossacks 3,0,88,742
Golf It!,60,152,739
Mabinogi,8,"1,435",733
Crush Crush,0,2,732
Counter-Strike Nexon: Zombies,0,4,726
KovaaK's FPS Aim Trainer,14,209,721
Eco,60,67,716
MOBIUS FINAL FANTASY,3,7,711
APB Reloaded,89,208,707
Creativerse,15,146,702
Ravenfield,0,4,701
Into the Breach,40,574,699
Torchlight II,1,12,699
RESIDENT EVIL 7 biohazard / BIOHAZARD 7 resident evil,431,490,694
MapleStory,468,"2,877",688
Elsword,53,288,688
March of Empires,0,1,671
Prey,32,287,666
DC Universe Online,36,156,664
Motorsport Manager,0,4,662
Ultimate General: Civil War,0,9,661
Just Cause 4,11,53,650
Magic Duels,0,6,649
Age of Civilizations II,0,4,647
